District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Kilinochchi,Whispering Palms Hotel,Lotus Blossom,Kilinochchi Herb Stores,Keeramalai Sivan Kovil,Kilinochchi Sports Complex,Kilinochchi District Probation Office,Kilinochchi Urban Council Snack Bar,,,,
Kilinochchi,Serene Haven,Coral Cove Restaurant,Kilinochchi Health Food Shops,Vannerikulam Pillaiyar Kovil,Kilinochchi Clock Tower,Kilinochchi District Youth Services Office,Kilinochchi Urban Council Juice Bar,,,,
Kilinochchi,Mountain Ridge Lodge,Spice Lounge,Kilinochchi Organic Markets,Keeramalai Bathrakali Amman Kovil,Iranamadu Cultural Centre,Kilinochchi District Women's Bureau,Kilinochchi Urban Council Cafeteria,,,,
Kilinochchi,Golden Gate Hotel,Ocean Pearl,Kilinochchi Nut Sellers,Keeramalai Vairavar Kovil,Kilinochchi War Museum,Kilinochchi District Chamber of Commerce,Kilinochchi Urban Council Restaurant,,,,
Kilinochchi,Sunflower Retreat,Pepper Pot,Kilinochchi Cosmetics Shops,Kokkuvil Sivan Kovil,Iranamadu Bird Watching Point,Kilinochchi District Cooperative Society,Kilinochchi Urban Council Bakery,,,,
Kilinochchi,Blue Horizon Resort,Cinnamon Spice,Kilinochchi Perfume Stores,Kokkuvil Kandasamy Kovil,Kilinochchi Art Gallery,Kilinochchi District Red Cross Society,Kilinochchi Urban Council Grocery Store,,,,
Kilinochchi,Skyline Inn,Bamboo Terrace,Kilinochchi Beauty Salons,Kokkuvil Mariamman Kovil,Iranamadu Fishing Harbor,Kilinochchi District Chamber of Agriculture,Kilinochchi Urban Council Convenience Store,,,,
Kilinochchi,Tranquil Waters Hotel,Banana Republic,Kilinochchi Hairdressers,Nelliyadi Mathiyananthar Sivan Kovil,Kilinochchi Science Centre,Kilinochchi District Chamber of Commerce and Industry,Kilinochchi Urban Council Pharmacy,,,,
Kilinochchi,Sunset Retreat,Coconut Paradise,Kilinochchi Pharmacy,Nelliyadi Mariamman Kovil,Kilinochchi Archaeological Museum,Kilinochchi District Chamber of Handicrafts,Kilinochchi Urban Council Bookstore,,,,
Kilinochchi,Ocean View Lodge,Mango Magic,Kilinochchi Medical Supply Stores,Nelliyadi Catholic Church,Iranamadu Archaeological Site,Kilinochchi District Chamber of Small Industries,Kilinochchi Urban Council Toy Store,,,,
Kilinochchi,Coral Reef Resort,Lemon Drop,Kilinochchi Bookstores,Nelliyadi Sithivinayagar Kovil,Iranamadu Marina,Kilinochchi District Chamber of Tourism,Kilinochchi Urban Council Clothing Store,,,,
Kilinochchi,Palm Tree Resort,Spice House,Kilinochchi Stationery Shops,Kokkuvil Jesus Church,Kilinochchi Botanical Gardens,Kilinochchi District Chamber of Arts and Crafts,Kilinochchi Urban Council Shoe Store,,,,
Kilinochchi,Pine Valley Hotel,Red Pepper,Kilinochchi Arts and Crafts Stores,Kondavil Kandasamy Kovil,Iranamadu Wildlife Sanctuary,Kilinochchi District Chamber of Music and Dance,Kilinochchi Urban Council Electronics Store,,,,
Kilinochchi,Misty Meadows Resort,Golden Harvest,Kilinochchi Musical Instrument Shops,Kondavil Sithivinayagar Kovil,Kilinochchi Zoological Park,Kilinochchi District Chamber of Drama and Theatre,Kilinochchi Urban Council Sports Equipment Store,,,,
Kilinochchi,Rainbow Retreat,Rainbow Delight,Kilinochchi Toy Stores,Kondavil Catholic Church,Iranamadu Amusement Park,Kilinochchi District Chamber of Literature and Poetry,Kilinochchi Urban Council Department Store,,,,
Kilinochchi,Silver Creek Lodge,Blue Ocean,Kilinochchi Sports Equipment Shops,Kondavil Sivagurunathar Kovil,Kilinochchi Water Park,Kilinochchi District Chamber of History and Archaeology,Kilinochchi Urban Council Supermarket,,,,
Kilinochchi,Sapphire Springs Hotel,Mango Madness,Kilinochchi Pet Shops,Achchelu Naguleswaram Kovil,Iranamadu Cultural Park,Kilinochchi District Chamber of Science and Technology,Kilinochchi Urban Council Shopping Mall,,,,
Kilinochchi,Crystal Cove Resort,Coconut Dream,Kilinochchi Flower Shops,Achchelu Sithivinayagar Kovil,Kilinochchi Theme Park,Kilinochchi District Chamber of Medicine and Health,Kilinochchi Urban Council Cinema,,,,
Kilinochchi,Whispering Woods Inn,Pineapple Express,Kilinochchi Garden Centers,Achchelu Catholic Church,Iranamadu Adventure Park,Kilinochchi District Chamber of Law and Justice,Kilinochchi Urban Council Bowling Alley,,,,
Kilinochchi,Mountain Mist Hotel,Starry Nights,Kilinochchi Hardware Stores,Achchelu Mariamman Kovil,Kilinochchi Safari Park,Kilinochchi District Chamber of Religion and Philosophy,Kilinochchi Urban Council Arcade,,,,
Kilinochchi,Sandcastle Resort,Spice Garden,Kilinochchi Construction Material Suppliers,Achchelu Sivan Kovil,Iranamadu Nature Reserve,Kilinochchi District Chamber of Economics and Commerce,Kilinochchi Urban Council Amusement Park,,,,
Kilinochchi,Seaside Serenity Hotel,Coral Reef,Kilinochchi Auto Parts Stores,Vaddakachchi Murugan Kovil,Kilinochchi Butterfly Park,Kilinochchi District Chamber of Politics and Governance,Kilinochchi Urban Council Trampoline Park,,,,
Kilinochchi,Dreamland Lodge,Saltwater Grill,Kilinochchi Bicycle Shops,Vaddakachchi Sithivinayagar Kovil,Iranamadu Butterfly Garden,Kilinochchi District Chamber of Sociology and Anthropology,Kilinochchi Urban Council Go-Kart Track,,,,
Kilinochchi,Paradise Cove Resort,Lemon Twist,Kilinochchi Motorcycle Dealers,Vaddakachchi Catholic Church,Kilinochchi Orchid Garden,Kilinochchi District Chamber of Psychology and Counseling,Kilinochchi Urban Council Mini-Golf Course,,,,
Kilinochchi,Mountain View Resort,Lotus Pond,Kilinochchi Car Dealerships,Vaddakachchi Vairavar Kovil,Iranamadu Orchid Farm,Kilinochchi District Chamber of Education and Pedagogy,Kilinochchi Urban Council Laser Tag Arena,,,,
Kilinochchi,Golden Sands Hotel,Bamboo Bistro,Kilinochchi Tire Shops,Vaddakachchi Mariamman Kovil,Kilinochchi Rose Garden,Kilinochchi District Chamber of Environment and Ecology,Kilinochchi Urban Council Paintball Field,,,,
Kilinochchi,Azure Waters Resort,Banana Split,Kilinochchi Gas Stations,Vaddakachchi Sivan Kovil,Iranamadu Rose Farm,Kilinochchi District Chamber of Sports and Recreation,Kilinochchi Urban Council Ice Skating Rink,,,,
Kilinochchi,Orchid Valley Lodge,Coconut Cream,Kilinochchi Auto Repair Shops,Karaveddy Naguleswaram Kovil,Kilinochchi Tulip Garden,Kilinochchi District Chamber of Arts and Culture,Kilinochchi Urban Council Roller Skating Rink,,,,
Kilinochchi,Sea Spray Resort,Mango Mania,Kilinochchi Petrol Pumps,Karaveddy Sivan Kovil,Iranamadu Tulip Farm,Kilinochchi District Chamber of Media and Communication,Kilinochchi Urban Council Skate Park,,,,
Kilinochchi,Harmony Haven,Pepper Grill,Kilinochchi Transport Companies,Karaveddy Catholic Church,Kilinochchi Sunflower Field,Kilinochchi District Chamber of Business and Industry,Kilinochchi Urban Council Water Park,,,,
Kilinochchi,Blue Ridge Hotel,Cinnamon Twist,Kilinochchi Travel Agencies,Karaveddy Mariamman Kovil,Iranamadu Sunflower Farm,Kilinochchi District Chamber of Finance and Banking,Kilinochchi Urban Council Swimming Pool,,,,
Kilinochchi,Whispering Waves Resort,Ocean Oasis,Kilinochchi Tour Operators,Karaveddy Sithivinayagar Kovil,Kilinochchi Lavender Field,Kilinochchi District Chamber of Agriculture and Farming,Kilinochchi Urban Council Tennis Court,,,,
Kilinochchi,Palm Grove Hotel,Sunburst Grill,Kilinochchi Money Exchange Centers,Karaveddy Jesus Church,Iranamadu Lavender Farm,Kilinochchi District Chamber of Trade and Commerce,Kilinochchi Urban Council Basketball Court,,,,
Kilinochchi,Paradise Oasis Resort,Spice Avenue,Kilinochchi Banks,Kodikamam Murugan Kovil,Kilinochchi Cherry Blossom Grove,Kilinochchi District Chamber of Technology and Innovation,Kilinochchi Urban Council Volleyball Court,,,,
Kilinochchi,Sunset Serenade Hotel,Curry Club,Kilinochchi ATMs,Kodikamam Sithivinayagar Kovil,Iranamadu Cherry Orchard,Kilinochchi District Chamber of Manufacturing and Production,Kilinochchi Urban Council Football Field,,,,
Kilinochchi,Mountain Peak Lodge,Lemon Zest,Kilinochchi Post Office,Kodikamam Catholic Church,Kilinochchi Apple Orchard,Kilinochchi District Chamber of Transport and Logistics,Kilinochchi Urban Council Cricket Ground,,,,
Kilinochchi,Oceanic Retreat,Lotus Blossom,Kilinochchi Courier Services,Kodikamam Sivan Kovil,Iranamadu Apple Farm,Kilinochchi District Chamber of Real Estate and Construction,Kilinochchi Urban Council Badminton Court,,,,
Kilinochchi,Sapphire Shores Resort,Coral Cove,Kilinochchi Internet Cafes,Kodikamam Mariamman Kovil,Kilinochchi Vineyard,Kilinochchi District Chamber of Energy and Utilities,Kilinochchi Urban Council Table Tennis Court,,,,
Kilinochchi,Tranquility Lodge,Saltwater Cafe,Kilinochchi Printing Shops,Kodikamam Jesus Church,Iranamadu Winery,Kilinochchi District Chamber of Health and Wellness,Kilinochchi Urban Council Gymnasium,,,,
Kilinochchi,Palm Haven Hotel,Oceanic Grill,Kilinochchi Photocopy Centers,Meesalai Naguleswaram Kovil,Kilinochchi Tea Plantation,Kilinochchi District Chamber of Education and Training,Kilinochchi Urban Council Fitness Center,,,,
Kilinochchi,Paradise Heights Resort,Spice Garden,Kilinochchi Business Centers,Meesalai Sivan Kovil,Iranamadu Tea Estate,Kilinochchi District Chamber of Research and Development,Kilinochchi Urban Council Yoga Studio,,,,
Kilinochchi,Mountain View Inn,Banana Leaf,Kilinochchi Conference Facilities,Meesalai Catholic Church,Kilinochchi Coffee Plantation,Kilinochchi District Chamber of Legal Services,Kilinochchi Urban Council Martial Arts Dojo,,,,
Kilinochchi,Whispering Palms Resort,Mango Tree,Kilinochchi Event Spaces,Meesalai Mariamman Kovil,Iranamadu Coffee Farm,Kilinochchi District Chamber of Social Services,Kilinochchi Urban Council Dance Studio,,,,
Kilinochchi,Coral Crest Hotel,Coconut Grove,Kilinochchi Party Supplies Stores,Meesalai Sithivinayagar Kovil,Kilinochchi Spice Garden,Kilinochchi District Chamber of Community Development,Kilinochchi Urban Council Music Studio,,,,
Kilinochchi,Sunburst Lodge,Pineapple Palace,Kilinochchi Costume Shops,Meesalai Jesus Church,Iranamadu Spice Plantation,Kilinochchi District Chamber of Human Rights,Kilinochchi Urban Council Art Studio,,,,
Kilinochchi,Blue Waters Resort,Starlight Cafe,Kilinochchi Wedding Planners,Manthuvil Kandasamy Kovil,Kilinochchi Rice Paddy,Kilinochchi District Chamber of International Relations,Kilinochchi Urban Council Pottery Studio,,,,
Kilinochchi,Silver Springs Hotel,Spice Island,Kilinochchi Bridal Boutiques,Manthuvil Sithivinayagar Kovil,Iranamadu Rice Field,Kilinochchi District Chamber of Diplomacy,Kilinochchi Urban Council Photography Studio,,,,
Kilinochchi,Emerald Isle Resort,Coral Cove,Kilinochchi Event Decorators,Manthuvil Catholic Church,Kilinochchi Vegetable Farm,Kilinochchi District Chamber of Non-Governmental Organizations,Kilinochchi Urban Council Performing Arts Center,,,,
Kilinochchi,Palm Beach Hotel,Ocean View,Kilinochchi Photography Studios,Manthuvil Mariamman Kovil,Iranamadu Vegetable Garden,Kilinochchi District Chamber of Multilateral Organizations,Kilinochchi Urban Council Community Center,,,,
Kilinochchi,Azure Bay Resort,Lemon Lounge,Kilinochchi Video Production Companies,Manthuvil Sivan Kovil,Kilinochchi Fruit Orchard,Kilinochchi District Chamber of Bilateral Organizations,Kilinochchi Urban Council Event Venue,,,,
Kilinochchi,Tranquil Bay Lodge,Lotus Garden,Kilinochchi Music Stores,Manthuvil Jesus Church,Iranamadu Fruit Farm,Kilinochchi District Chamber of International Organizations,Kilinochchi Urban Council Conference Hall,,,,
Kilinochchi,Sunset Bay Hotel,Bamboo Beach,Kilinochchi Dancewear Shops,Mirusuvil Murugan Kovil,Kilinochchi Dairy Farm,Kilinochchi District Chamber of Inter-Governmental Organizations,Kilinochchi Urban Council Banquet Hall,,,,
Kilinochchi,Mountain Paradise Resort,Banana Bay,Kilinochchi Martial Arts Supply Stores,Mirusuvil Sithivinayagar Kovil,Iranamadu Cattle Ranch,Kilinochchi District Chamber of Political Parties,Kilinochchi Urban Council Wedding Venue,,,,
Kilinochchi,Coral Sands Lodge,Coconut Corner,Kilinochchi Yoga Studios,Mirusuvil Catholic Church,Kilinochchi Poultry Farm,Kilinochchi District Chamber of Civil Society,Kilinochchi Urban Council Meeting Room,,,,
Kilinochchi,Palm Oasis Hotel,Mango Grove,Kilinochchi Fitness Centers,Mirusuvil Mariamman Kovil,Iranamadu Chicken Coop,Kilinochchi District Chamber of Charitable Organizations,Kilinochchi Urban Council Auditorium,,,,
Kilinochchi,Paradise Sands Resort,Pepper Place,Kilinochchi Sports Clubs,Mirusuvil Sivan Kovil,Kilinochchi Fish Farm,Kilinochchi District Chamber of Voluntary Organizations,Kilinochchi Urban Council Theater,,,,
Kilinochchi,Mountain Crest Lodge,Cinnamon Cafe,Kilinochchi Health Clinics,Mirusuvil Jesus Church,Iranamadu Fish Hatchery,Kilinochchi District Chamber of Community-Based Organizations,Kilinochchi Urban Council Art Gallery,,,,
Kilinochchi,Ocean Crest Hotel,Lemon Lagoon,Kilinochchi Dental Clinics,Pandatharippu Kandasamy Kovil,Kilinochchi Shrimp Pond,Kilinochchi District Chamber of Religious Organizations,Kilinochchi Urban Council Museum,,,,
Kilinochchi,Sapphire Sands Resort,Spice Shack,Kilinochchi Eye Clinics,Pandatharippu Sithivinayagar Kovil,Iranamadu Shrimp Farm,Kilinochchi District Chamber of Educational Organizations,Kilinochchi Urban Council Cultural Center,,,,
Kilinochchi,Whispering Hills Resort,Coral Cafe,Kilinochchi Veterinary Clinics,Pandatharippu Catholic Church,Kilinochchi Oyster Bed,Kilinochchi District Chamber of Cultural Organizations,Kilinochchi Urban Council Heritage Site,,,,
Kilinochchi,Palm Grove Resort,Ocean Breeze,Kilinochchi Hospitals,Pandatharippu Mariamman Kovil,Iranamadu Oyster Farm,Kilinochchi District Chamber of Environmental Organizations,Kilinochchi Urban Council Historic Landmark,,,,
Kilinochchi,Paradise Inn,Lotus Leaf,Kilinochchi Electronics Market,Pandatharippu Sivan Kovil,Kilinochchi Seaweed Farm,Kilinochchi District Chamber of Health Organizations,Kilinochchi Urban Council Nature Reserve,,,,
Kilinochchi,Mountain Retreat,Bamboo Buffet,Kilinochchi Mobile Mall,Pandatharippu Jesus Church,Iranamadu Algae Pond,Kilinochchi District Chamber of Youth Organizations,Kilinochchi Urban Council Botanical Garden,,,,
Kilinochchi,Whispering Pines Resort,Banana Boat,Kilinochchi Computer Plaza,Paranthan Naguleswaram Kovil,Kilinochchi Bee Farm,Kilinochchi District Chamber of Women's Organizations,Kilinochchi Urban Council Park,,,,
Kilinochchi,Pineapple Paradise Hotel,Coconut Cove,Kilinochchi Camera Centre,Paranthan Sithivinayagar Kovil,Iranamadu Honey Hive,Kilinochchi District Chamber of Trade Unions,Kilinochchi Urban Council Garden,,,,
Kilinochchi,Starlight Retreat,Pineapple Pavilion,Kilinochchi Appliance Store,Paranthan Catholic Church,Kilinochchi Silk Farm,Kilinochchi District Chamber of Professional Associations,Kilinochchi Urban Council Picnic Area,,,,
Mannar,Mannar Beach Resort,Seafood Haven,Mannar Central Market,Thiruketheeswaram Kovil,Mannar Fort,Mannar Central College,Mannar Island,,,,
Mannar,Palm Paradise Hotel,Spice Island Restaurant,Mannar Municipal Market,Thiruvedkai Kovil,Talaimannar Lighthouse,Mannar Hindu College,Mannar Fort,,,,
Mannar,Ocean View Hotel,Palm Grove Eatery,Mannar Vegetable Market,St. Antony's Church,Doric Bungalow,"St. Xavier's College, Mannar",Thiruketheeswaram Temple,,,,
Mannar,Sunset Inn,Ocean View Dining,Mannar Fruit Market,St. Sebastian's Church,Adam's Bridge,Mannar Maha Vidyalayam,Adam's Bridge (Rama Setu),,,,
Mannar,Seaview Guesthouse,Sunset Breeze Cafe,Mannar Fashion Center,St. Mary's Cathedral,Thiruketheeswaram Temple,Mannar Mahajana College,Vankalai Sanctuary,,,,
Mannar,Pearl Sands Hotel,Coconut Delight Restaurant,Mannar Textile Bazaar,St. Xavier's Church,Vankalai Sanctuary,Mannar Roman Catholic Tamil Mixed School,Mannar Causeway,,,,
Mannar,Mannar Grand Palace,Pearl Sands Cafe,Mannar Saree Emporium,St. Michael's Church,Mannar Island,Mannar National College of Education,Mannar Lagoon,,,,
Mannar,Blue Ocean Villa,Mannar Grand Buffet,Mannar Jewel Palace,St. Joseph's Church,Giant's Tank,Mannar District Secretariat,Doric Bungalow,,,,
Mannar,Sunshine Lodge,Blue Ocean Grill,Mannar Gold House,St. Anne's Church,Mannar Causeway,Mannar Divisional Secretariat,Mannar Beach,,,,
Mannar,Coconut Grove Resort,Island Paradise Restaurant,Mannar Silver Plaza,St. Thomas' Church,Baobab Tree Grove,Mannar General Hospital,Talaimannar Pier,,,,
Mannar,Golden Sands Hotel,Coral Cove Bistro,Mannar Craft Corner,St. George's Church,Arippu Fort,Mannar Public Library,Giant's Tank,,,,
Mannar,Island Breeze Resort,Tranquil Taste Restaurant,Mannar Craft Haven,St. Andrew's Church,Mannar Market,Mannar Archaeological Museum,Baobab Tree Forest,,,,
Mannar,Coral Cove Hotel,Paradise Beach Cafe,Mannar Pottery Studio,St. Francis Xavier's Church,Arippu Lagoon,Mannar War Memorial Museum,Arippu Fort,,,,
Mannar,Tranquil Retreat,Seaside Retreat Dining,Mannar Batik Gallery,St. John's Church,Ketheeswaram Temple,Mannar Railway Station,Arippu Lagoon,,,,
Mannar,Paradise Beach Resort,Seaview Terrace Restaurant,Mannar Handloom Emporium,St. Patrick's Church,Mannar Bridge,Mannar Clock Tower,Portuguese Church,,,,
Mannar,Seaside Escape Guesthouse,Sunset Grill House,Mannar Tailor Hub,St. Theresa's Church,Giant's Footprint,Mannar Urban Council Office,Pallimunai Beach,,,,
Mannar,Sea Breeze Inn,Marina View Restaurant,Mannar Shoe Emporium,St. Jude's Church,Arippu Mangrove Forest,Mannar Rural Development Society Office,Pesalai Church,,,,
Mannar,Marina View Hotel,Palm Tree Cafe,Mannar Leather Boutique,St. Augustine's Church,Baobab Avenue,Mannar Fisheries Department Office,Arippu Beach,,,,
Mannar,Palm Tree Lodge,Oceanic Delight Eatery,Mannar Bag Gallery,St. Martin's Church,Mannar Clock Tower,Mannar Post Office,Baththalangunduwa Island,,,,
Mannar,Oceanic Resort,Sunrise Breakfast Joint,Mannar Watch World,St. Paul's Church,Arippu Water Tower,Mannar Police Station,Giant's Tank Sanctuary,,,,
Mannar,Sunset Paradise Hotel,Sunset View Cafe,Mannar Electronics Hub,St. Rose of Lima's Church,Baobab Trail,Mannar Fire Station,Arippu Saltern,,,,
Mannar,Seaview Retreat,Blue Lagoon Bistro,Mannar Mobile Zone,St. Matthew's Church,Mannar Beach,Mannar Government Hospital,Madhu Church,,,,
Mannar,Blue Lagoon Guesthouse,Beach Haven Restaurant,Mannar Computer Mart,St. Mark's Church,Vankalai Beach,Mannar District Land Office,Pesalai Beach,,,,
Mannar,Beach Haven Resort,Sandcastle Grill,Mannar Appliance Center,St. Luke's Church,Arippu Beach,Mannar District Education Office,Thiruketheeswaram Kovil,,,,
Mannar,Sandcastle Hotel,Seaside Villa Dining,Mannar Furniture Gallery,St. Peter's Church,Pallimunai Beach,Mannar District Agriculture Office,Arippu Mangrove Forest,,,,
Mannar,Seaside Villa,Island Oasis Cafe,Mannar Home Decor Emporium,St. James' Church,Thalaimannar Beach,Mannar District Irrigation Office,Mannar District Secretariat,,,,
Mannar,Island Paradise Guesthouse,Coral Reef Bistro,Mannar Kitchenware Outlet,St. Philip's Church,Talaimannar Pier,Mannar District Revenue Office,Mannar Divisional Secretariat,,,,
Mannar,Coral Reef Resort,Coconut Grove Eatery,Mannar Grocery Mart,St. Bartholomew's Church,Mannar Pier,Mannar District Planning Office,Mannar General Hospital,,,,
Mannar,Coconut Grove Lodge,Sunrise Cafe,Mannar Superstore,St. Simon's Church,Arippu Pier,Mannar District Fisheries Office,Mannar Public Library,,,,
Mannar,Sunrise Hotel,Sunset Villa Restaurant,Mannar Bakery House,St. Matthias' Church,Baobab Forest,Mannar District Wildlife Office,Mannar Central Bus Stand,,,,
Mannar,Sunset Villa,Marina Cafe,Mannar Sweet Haven,St. Stephen's Church,Mannar Cultural Center,Mannar District Environmental Office,Mannar Railway Station,,,,
Mannar,Marina Retreat,Palm Haven Bistro,Mannar Snack Corner,St. Thaddeus' Church,Baobab Park,Mannar District Cultural Office,Mannar Clock Tower,,,,
Mannar,Palm Haven Resort,Blue Wave Dining,Mannar Tea Emporium,St. Thomas More's Church,Thalaimannar Church,Mannar District Social Services Office,Mannar Public Park,,,,
Mannar,Blue Wave Hotel,Paradise Cove Cafe,Mannar Spice Bazaar,St. Ignatius' Church,Thalaimannar Mosque,Mannar District Probation Office,Mannar Urban Council Playground,,,,
Mannar,Paradise Cove Lodge,Seaview Mansion Restaurant,Mannar Herb Emporium,St. Ambrose's Church,Mannar Hindu Temple,Mannar District Youth Services Office,Mannar Urban Council Stadium,,,,
